date,outlet,coin,title,url
2019-11-20,The Coin Republic,DASH,What is Dash Cryptocurrency? What will be the price of Dash in the future?,https://www.thecoinrepublic.com/2019/11/20/what-is-dash-cryptocurrency-what-will-be-the-price-of-dash-in-the-future/
2020-01-13,Crypto Ticker ,DASH,"50% in 14 days: Will DASH start another 1000% Bitcoin rally, as it did in 2018?",https://cryptoticker.io/en/dash-cryptocurrency-price/
2020-01-15,CCN,DASH,Dash Takes Massive Leap with 62% Overnight Surge,https://www.ccn.com/dash-takes-massive-leap-with-62-overnight-surge/
2020-01-15,cryptonews,DASH,Dash Up 70% in Two Days – What’s Driving the Rally?,https://cryptonews.com/news/dash-up-70-in-two-days-what-s-driving-the-rally-5534.htm
2020-01-20,FXStreet ,DASH,"Cryptocurrencies price prediction: Bitcoin, Ripple & Dash - Asian Wrap 20 Jan",https://www.fxstreet.com/cryptocurrencies/news/cryptocurrencies-price-prediction-bitcoin-ripple-dash-asian-wrap-20-jan-202001200455
2020-01-21,Cointelepgraph,DASH,"Ether, XRP, and DASH Push Higher as the Altcoin Market Gains Momentum",https://cointelegraph.com/news/ether-xrp-and-dash-push-higher-as-the-altcoin-market-gains-momentum
2020-01-27,BeInCrypto ,DASH,Dash May Have 1 Million Users in Venezuela by Year’s End,https://beincrypto.com/dash-may-have-1-million-users-venezuela-years-end/
2020-01-27,Coincodex ,DASH,Dash Price Analysis - DASH Back to Trading Above $100,https://coincodex.com/article/6722/dash-price-analysis-dash-back-to-trading-above-100/
2020-02-01,Crypto Ticker ,DASH,DASH Cryptocurrency Price Analysis: Strong Recovery Ahead?,https://cryptoticker.io/en/dash-cryptocurrency-price-analysis-strong-recovery-ahead/
2020-02-05,FXStreet ,DASH,Cryptocurrency Market Update: Ripple puts altcoins in the spotlight as NEO and Dash catch the pace,https://www.fxstreet.com/cryptocurrencies/news/cryptocurrency-market-update-ripple-puts-altcoins-in-the-spotlight-as-neo-and-dash-catch-the-pace-202002050947
2019-05-09,CCN,LTC,"Litecoin Hastens Mainstream Adoption, Inks Deal with Blockchain Startup Travala",https://www.ccn.com/litecoin-mainstrea-adoption-travala/
2019-06-11,Forbes,LTC,Litecoin Has Rallied 350% This Year,https://www.forbes.com/sites/cbovaird/2019/06/11/litecoin-has-rallied-350-this-year/#c3d0c56373d1
2019-09-03,The Street,LTC,Cryptocurrency in Focus: Litecoin 'Halves' Some Struggles,https://www.thestreet.com/investing/cryptocurrency-in-focus-litecoin-halves-struggles-15075713
