date,outlet,reporter,headline,original,country,medium,link,note
2020-02-23,Cointelegraph,Joseph Birch,The State of Blockchain: Experts Weigh in on Adoption Around the World,,USA,Article,https://cointelegraph.com/news/the-state-of-blockchain-experts-weigh-in-on-adoption-around-the-world,
2020-02-27,AMB Crypto,Aakash Athawasya,Bitcoin is building a nation on the foundation of maximalism,,USA,Article,https://eng.ambcrypto.com/bitcoin-building-a-nation-on-the-foundation-of-maximalism/,
2020-02-28,Finance Magnates,Rachel McIntosh,BTC's mining power is highly concentrated in China. Should crypto users be concerned?,,USA,Article,https://www.financemagnates.com/cryptocurrency/news/does-china-control-bitcoin-and-ethereum/,
2020-03-31,CoinDesk,Bradley Keoun,Remote Working Proves Unexpected Hero as Half of US Economy Shifts to Home Offices,,USA,Article,https://www.coindesk.com/remote-working-proves-unexpected-hero-as-half-of-us-economy-shifts-to-home-offices,
2020-03-31,Yahoo! Finance CA,Bradley Keoun,Remote Working Proves Unexpected Hero as Half of US Economy Shifts to Home Offices,,USA,Article,https://ca.finance.yahoo.com/news/remote-working-proves-unexpected-hero-182504644.html,
2020-04-01,Cointelegraph,Andrey Shevchenko,Proof-of-Stake Vs. Proof-of-Work: Which One Is ‘Fairer’?,,USA,Article,https://cointelegraph.com/news/proof-of-stake-vs-proof-of-work-which-one-is-fairer,
2020-04-01,Finance Magnates,Rachel McIntosh,Fintech Experts Share Tips for Remote Work During Coronavirus Quarantine,,USA,Article,https://www.financemagnates.com/cryptocurrency/news/fintech-experts-share-tips-for-remote-work-during-coronavirus-quarantine/,
2020-04-03,ValueWalk,Richard Red,The open source response to Covid-19,,USA,Article,https://www.valuewalk.com/2020/04/open-source-response-covid-19/,Op-Ed
2020-04-17,Cointelegraph,Shiraz Jagati,"G-20's Harsh Stance on Stablecoin Is a Step Forward, but Regulators Have More to Learn",,USA,Article,https://cointelegraph.com/news/harsh-stablecoin-recommendations-from-g-20-are-a-step-in-the-right-direction-but-regulators-need-more-education,
2020-04-18,Bitcoin News Network,Shiraz Jagati,"G-20's Harsh Stance on Stablecoin Is a Step Forward, but Regulators Have More to Learn",,USA,Article,https://www.btcnn.com/harsh-stablecoin-recommendations-from-g-20-are-a-step-in-the-right-direction-but-regulators-need-more-education/,
2020-04-18,Investing.com,Shiraz Jagati,"G-20's Harsh Stance on Stablecoin Is a Step Forward, but Regulators Have More to Learn",,USA,Article,https://www.investing.com/news/cryptocurrency-news/g20s-harsh-stance-on-stablecoin-is-a-step-forward-but-regulators-have-more-to-learn-2144200,
2020-05-05,Bitcoin News Network,Benjamin Pirus,"Bitcoin's Halving Incentivizes Miners to Sell for Double, Decred Co-Founder Says",,USA,Article,https://www.btcnn.com/bitcoins-halving-incentivizes-miners-to-sell-for-double-decred-co-founder-says/,
2020-05-05,Bitprime.co,Benjamin Pirus,"Bitcoin's Halving Incentivizes Miners to Sell for Double, Decred Co-Founder Says",,USA,Article,https://bitprime.co/bitcoins-halving-incentivizes-miners-to-sell-for-double-decred-co-founder-says/,
2020-05-05,Cointelegraph,Benjamin Pirus,"Bitcoin's Halving Incentivizes Miners to Sell for Double, Decred Co-Founder Says",,USA,Article,https://cointelegraph.com/news/bitcoin-s-halving-incentivizes-miners-to-sell-for-double-decred-co-founder-says,
2020-05-05,The Breaking News Headlines,Benjamin Pirus,"Bitcoin's Halving Incentivizes Miners to Sell for Double, Decred Co-Founder Says",,USA,Article,https://thebreakingnewsheadlines.com/blog/bitcoins-halving-incentivizes-miners-to-sell-for-double-decred-co-founder-says/,
2020-05-05,The Bulletin Time,Benjamin Pirus,"Bitcoin's Halving Incentivizes Miners to Sell for Double, Decred Co-Founder Says",,USA,Article,https://www.thebulletintime.com/news/bitcoins-halving-incentivizes-miners-to-sell-for-double-decred-co-founder-says/,
2020-05-05,Zephyrnet,Benjamin Pirus,"Bitcoin's Halving Incentivizes Miners to Sell for Double, Decred Co-Founder Says",,USA,Article,https://zephyrnet.com/bitcoins-halving-incentivizes-miners-to-sell-for-double-decred-co-founder-says/,
2020-05-05,Cafebiz.vm,Charles Bovaird,Is This The Perfect Time For Central Bank Digital Currencies?,,Vietnam,Article,https://cafebiz.vn/day-co-phai-la-thoi-diem-hoan-hao-de-cac-ngan-hang-trung-uong-phat-hanh-tien-ky-thuat-so-2020050613412006.chn,
2020-05-05,Fintech Ranking,Charles Bovaird,Is This The Perfect Time For Central Bank Digital Currencies?,,USA,Article,https://fintechranking.com/2020/05/05/is-this-the-perfect-time-for-central-bank-digital-currencies/,
2020-05-05,Forbes,Charles Bovaird,Is This The Perfect Time For Central Bank Digital Currencies?,,USA,Article,https://www.forbes.com/sites/cbovaird/2020/05/05/is-this-the-perfect-time-for-central-bank-digital-currencies/,
2020-05-06,Coinkolik,Benjamin Pirus,Bitcoin Halving Sonrası Madenciler Nasıl Bir Yol İzleyecek?,,Turkey,Article,https://www.coinkolik.com/bitcoin-halving-sonrasi-madenciler-nasil-bir-yol-izleyecek/,
2020-05-06,Cryptonewspoint,Benjamin Pirus,Decred Co-Founder Predicts Bitcoin Mining Will Double Its Price,,India,Article,https://www.cryptonewspoint.com/decred-co-founder-predicts-bitcoin-mining-will-double-its-price/,
2020-05-06,Uzmancoin,Benjamin Pirus,"Decred kurucu ortağı: Madenciler, Bitcoin’lerini iki katına satmak isteyecekler",,Turkey,Article,https://uzmancoin.com/bitcoin-decred-halving/,
2020-05-06,Finance Sina,Charles Bovaird,福布斯：后新冠时代央行数字货币是否迎来发展良机？,,China,Article,https://finance.sina.com.cn/blockchain/roll/2020-05-06/doc-iircuyvi1519429.shtml,
2020-05-06,Thitruonghanghoa,Charles Bovaird,Is This The Perfect Time For Central Bank Digital Currencies?,,Vietnam,Article,https://www.thitruonghanghoa.com/tin-tuc/day-co-phai-la-thoi-diem-hoan-hao-de-cac-ngan-hang-trung-uong-phat-hanh-tien-ky-thuat-so-122897.html,
2020-05-07,Bitcoingold,Benjamin Pirus,مؤسس دیکرد (Decred) می گوید: هالوینگ بیت کوین (Bitcoin) ماینرها را برای فروش با قیمت دوبرابر تشویق می کند,,Iran,Article,https://bitcoingold.persianblog.ir/lL6oGZgQ98HBk5wgYDBB-مؤسس-دیکرد-Decred-می-گوید-هالوینگ-بیت-کوین-Bitcoin-ماینرها-را-برای-فروش-با-قیمت-دوبرابر-تشویق-می-کند,
2020-05-07,Somagnews,Daniel Kucher,Decred co-founder: Miners will want to double their Bitcoins,,USA,Article,https://www.somagnews.com/decred-co-founder-miners-will-want-double-bitcoins/,
2020-05-07,Finance Magnates,Rachel McIntosh,Will the Upcoming Halving Increase Bitcoin’s Price?,,USA,Article,https://www.financemagnates.com/cryptocurrency/news/will-the-upcoming-halving-increase-bitcoins-price/,
2020-05-07,FXStreet,Rajarshi Mitra,Decred co-founder expects Bitcoin halving to spike BTC’s price,,USA,Article,https://www.fxstreet.com/cryptocurrencies/news/decred-co-founder-expects-bitcoin-halving-to-spike-btcs-price-202005070208,
2020-05-07,Bitcoin Insider,Shiraz Jagati,Stairway to Scarcity: Bitcoin Sentiment to Rise Despite Halving Impact,,USA,Article,https://www.bitcoininsider.org/article/86761/stairway-scarcity-bitcoin-sentiment-rise-despite-halving-impact,
2020-05-07,Bitcoin News Network,Shiraz Jagati,Stairway to Scarcity: Bitcoin Sentiment to Rise Despite Halving Impact,,USA,Article,https://www.btcnn.com/stairway-to-scarcity-bitcoin-sentiment-to-rise-despite-halving-impact/,
2020-05-07,Cointelegraph,Shiraz Jagati,Stairway to Scarcity: Bitcoin Sentiment to Rise Despite Halving Impact,,USA,Article,https://cointelegraph.com/news/stairway-to-scarcity-bitcoin-sentiment-to-rise-despite-halving-impact,
