date,outlet_name,reporter,headline,country,medium,link
2019-05-08,941TheDuke,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',USA,Internet,https://941theduke.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/
2020-02-23,Cointelegraph,Joseph Birch,The State of Blockchain: Experts Weigh in on Adoption Around the World,USA,Internet,https://cointelegraph.com/news/the-state-of-blockchain-experts-weigh-in-on-adoption-around-the-world
2020-02-27,AMBCrypto,Aakash Athawasya,Bitcoin is building a nation on the foundation of maximalism,USA,Internet,https://eng.ambcrypto.com/bitcoin-building-a-nation-on-the-foundation-of-maximalism/
2020-02-28,Finance Magnates,Rachel McIntosh,BTC's mining power is highly concentrated in China. Should crypto users be concerned?,USA,Internet,https://www.financemagnates.com/cryptocurrency/news/does-china-control-bitcoin-and-ethereum/
2020-03-31,CoinDesk,Bradley Keoun,Remote Working Proves Unexpected Hero as Half of US Economy Shifts to Home Offices,USA,Internet,https://www.coindesk.com/remote-working-proves-unexpected-hero-as-half-of-us-economy-shifts-to-home-offices
2020-03-31,Yahoo! Finance,Bradley Keoun,Remote Working Proves Unexpected Hero as Half of US Economy Shifts to Home Offices,USA,Internet,https://ca.finance.yahoo.com/news/remote-working-proves-unexpected-hero-182504644.html
2020-04-01,Cointelegraph,Andrey Shevchenko,Proof-of-Stake Vs. Proof-of-Work: Which One Is ‘Fairer’?,USA,Internet,https://cointelegraph.com/news/proof-of-stake-vs-proof-of-work-which-one-is-fairer
2020-04-01,Finance Magnates,Rachel McIntosh,Fintech Experts Share Tips for Remote Work During Coronavirus Quarantine,USA,Internet,https://www.financemagnates.com/cryptocurrency/news/fintech-experts-share-tips-for-remote-work-during-coronavirus-quarantine/
2020-04-03,ValueWalk,RichardRed Op-Ed,The open source response to Covid-19,USA,Internet,https://www.valuewalk.com/2020/04/open-source-response-covid-19/
2020-04-17,Cointelegraph,Shiraz Jagati,"G-20's Harsh Stance on Stablecoin Is a Step Forward, but Regulators Have More to Learn",USA,Internet,https://cointelegraph.com/news/harsh-stablecoin-recommendations-from-g-20-are-a-step-in-the-right-direction-but-regulators-need-more-education
2020-04-18,Bitcoin News Network,Shiraz Jagati,"G-20's Harsh Stance on Stablecoin Is a Step Forward, but Regulators Have More to Learn",USA,Internet,https://www.btcnn.com/harsh-stablecoin-recommendations-from-g-20-are-a-step-in-the-right-direction-but-regulators-need-more-education/
